,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
Gngt2,68,79.00000888,81.99989,98.85458,91.65301,80,108,79.99995,72,49.00006,92,116
Gnl1,582.70873,580.2812,630.87736,625.57107,927.42741,826.87434,606.57662,566.5506,787.074,667.5622,644.03755,899.6962
Gnl2,894.99974,907.0002,843.99973,935.00046,651.00051,524.00008,710.99998,904.00038,954.00044,938.00039,919.00004,718.99986
Gnl3,728.7503505,959.84909,709.576472,1081.46776,651.01228,572.88841,610.778459,1097.824967,1147.66678,1003.20185,1173.17134,868.05737
Gnl3l,872.9348,908.0782,751.10954,810.70554,673.1664852,570.0091148,739.72571,891.384118,832.32757,749.9340002,731.419,645.02388
Gnmt,17.00000407,7,14.00005,12,5,21,21.00000238,4,5,7,11,5
Gnpat,1183.99741,1385.55078,1216.67616,1422.85423,1044.93458,813.99979,1093.86484,1255.9963,1382.99943,1242.88398,1294.72761,1046.91691
Gnpda1,877.9529937,1066.823199,1249.00095,782.9674,1721.847,1715,1281.93,1482.851499,1381.000066,1281.86356,2250.0009,1909.00465
Gnpda2,296.55195,275.8811,192.8947,219.53776,200.4485,251.039,250.3209545,281.0293,188.83505,194.35685,225.83961,181.07826
Gnpnat1,570.15389,623.48897,570.5305,849.82859,585.6629335,572.28728,559.47487,628.83679,633.89306,668.20902,640.26276,561.32959
Gnptab,1130.000262,1021.999729,1001.000496,991.99975,826.99931,689.0003579,936.99988,1041.000331,947.0001537,894.9606,768.9999801,701.00049
Gnptg,378.3174,363.5607,362.76,380.4033,499.7891,502.582,390.5937,375.2303,396.8801,412.8001,477.2334,525.551
Gnrh1,47.99998,24.99997,23.99999,25.00005,22.99995,13,37.99996,13,15.00003,20.00001,24.99998,13.999999
Gnrhr,0,0,0,0,0,0,0,0,0,0,0,0
Gns,2905.00036,1967.00392,2530.9989,1815.99604,3257.27635,3560.9944,3407.99989,2373.001608,2187.99705,2348.99571,2356.00459,2388.00298
Golga1,1388.00048,1180.0001,1228.00002,978.9994,1205.000102,1098.99991,1205.00066,1255.99975,1072.99999,1133.00013,1088.00002,1000.000265
Golga2,1417.00005,1260.991488,1308.000051,1298.000892,1430.99995,1358.998936,1440.000302,1360.000018,1407.999326,1578.999349,1322.00019,1332.99951
Golga3,803.05148,826.00001,767.00833,753.76794,615.96077,538.31141,721.66724,769.69165,813.60052,746.10678,631.02262,604.03905
Golga4,3279.0062,3046.12462,3452.99817,2407.99785,2739.94681,2619.01601,2977.08735,3362.00224,3191.9999,3205.00187,2509.90682,2464.007105
Golga5,829.99962,707.0006,659.9999,695.9999,822.0003,777,779.99996,740.0003,741.0003,703.9997,910.9996,685.9995
Golga7,1202.9188,1308.0978,1218.6308,1357.7155,1137.557,1102.8615,1073.8077,1208.9523,1221.8271,1136.7948,1243.8028,1163.8537
Golga7b,7.00000019,15,20.9999747,25.0002,17,4.99999909,0,8.0000043,16,5,14,26.9999584
Golgb1,1738.66921,1517.00076,1724.00418,1735.6639,1058.00005,990.0005,1425.99971,1628.00003,1702.614793,1997.99596,997.9993,1007.00047
Golim4,1649.0011,1438.00037,1592.28387,1598.00069,1520.13347,1366.99993,1526.00055,1370.9996,1340.99973,1401.28484,1190.99995,1110.99961
Golm1,5329.34535,5589.6637,4868.235,6369.27846,3616.42629,3597.116,4726.209,6605.4426,5968.9649,6978.80375,4669.5074,3735.93519
Golm2,230.9551,215.49328,195.07976,280.8818,155.464,169.44346,197.232975,239.9202075,222.5430595,221.31825,221.0503002,124.59016
Golph3,3755.58828,4146.7907,3788.6273,3505.31474,3829.49822,3829.817,3758.24727,4302.0198,3975.63224,3735.07069,4117.973,3659.16524
Golph3l,1509.96865,1412.9823,1426.97022,1734.98845,1609.9693,1660.9783,1446.9849,1412.9906,1409.979319,1486.98225,1370.9837,1358.99424
Golt1a,860.5352,676.6747,1056.343,871.7736,1714.03,1700.303,1020.6179,715.6784,874.4047,880.6507,1219.559,1564.531
Golt1b,290.9998,346,263,402.00009,275.00018,228,261,327,356,333,361.99957,337.99968
Gon4l,1083.2962,1160.9169,960.1152,1082.7613,747.458,577.9546844,872.66349,1073.39176,1117.89433,1127.89469,847.284,793.06365
Gon7,104.5113,145.7784,138.4395,137.5877,145.2012,110.9064,114.21165,136.29965,128.1107,117.43763,130.70023,152.4545
Gopc,538.99979,659.999993,602.00007,561.0003,460.99993,386.99986,497.000106,609.99974,600.99995,584.9997,550.00053,563.00023
Gorab,166.00005,183.99961,193.9999,260.00039,190.0004,208.0002,172.99963,204.00002,212.00004,233.99957,225.0004,208.99959
Gorasp1,721.49508,738.437,694.811,781.66945,653.18728,510.841,760.0561,617.953,569.504,671.09,738.778,608.729
Gorasp2,3340.9958,3209.99839,2856.16025,3462.08537,3401.1602,3138.05745,3257.23472,3171.04937,3368.02504,3715.99493,3808.07938,3222.20452
Gosr1,1213.9985,1089.9971,1114.9999,1042.0009,1204,1107.00496,1234.00045,1199,1130.9962,1164.00352,1113.99631,1115
Gosr2,1951.002,1903.0035,2493.0034,2165.99605,3087.995,3003.9963,2371.0017,2038.001,2389.995,2426.9996,2619.9956,2652.0023
Got1,1934.00362,1582.00499,2373.99752,2044.99633,3545.99903,3404.00148,2758.0037,1623.99952,2191.99828,2279.99954,1934.00322,2686.00239
