"","Symbol","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652879.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652880.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652881.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652882.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652883.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652884.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652885.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652886.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652887.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652888.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652889.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652890.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652891.tabular"
"1","",5518.10084634857,5397.77651036075,5903.15686816155,4529.66163201027,5686.93677977177,6412.56490492249,5325.70600295887,4664.78414016089,5101.8373001051,4257.16895938635,5522.60855967361,8558.29446753765,7817.74204893157
"2","0610005C13Rik",1971.40115,2880.80514357,2654.98831,1878.94014,1983.91675274715,2579.049726,1910.122770636,1730.542567,2434.31151075517,1733.963712455,1886.933901432,2960.60868423334,2124.997705
"3","0610006L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"4","0610009B22Rik",158.99969,124,138,165.0001,230.99975,210.99995,159.99975,129.0004,119.00027,139.00023,145,183.99962,169.00018
"5","0610009E02Rik",18.570282,18.95453,23.0527,16.48349,29.24211,25.31194,20.40579,14.76437,17.83852,18.31564,12.522343,18.3718,26.60972
"6","0610009L18Rik",11.00001,13,10.99999,13,12.00001,12.00001,3,6.99999,13.00001,8.99999,12.99996,23.00001,9
"7","0610010K14Rik",92.23531,102.03304,95.29344,117.44179,154.0834,140.17407,84.05687,109.04895,122.7494556,102.29647,89.28346,118.621935113056,116.97426
"8","0610012D04Rik",0,0,0,0,1,3,2,0,0,0,1,1,0
"9","0610025J13Rik",0,0,0,0,0,0,1,0,0,0,0,0,0
"10","0610030E20Rik",607.31060279,784.27685,731.3387,595.51416,548.4389,557.0967,564.64027,542.31014,581.62105,552.13132,784.559,782.96074,668.91489
"11","0610031O16Rik",3.08586,1.05899,7.02699,1.69398,3.38775,9.60627,2,3.21659,2.09867,3.47406,3.20243,11.2187,3.42979
"12","0610033M10Rik",0,0,1,0,0,0,0,0,0,0,0,0,1
"13","0610038B21Rik",0,5.37272,1,0,0,2.01063,0,0,0,0,1.05123,1.0479,1
"14","0610039K10Rik",6.002021,3.000597,2.002158,4.003513,2.000001,1.00025,1.999998,3.000609,0,2.000538,1.000985,2.001395,4.003292
"15","0610040B10Rik",17.776656,8.15071,11.639349,16.4686,28.55454,17.61769,9.228037,11.26523786,25.55916,11.88903,14.189842,15.6661977,17.3333
"16","0610040F04Rik",2,5.00145,3.00206,6.00194,1,6,3,0,3.00129,0,2,7,4
"17","0610040J01Rik",1117.9968,1348.99871,1161.99747,1228.00129,1233.00063,1188.99743,1053.00102,1396.99874,1216.99607,1228.99951,1265.00387,1323.99655,1075.00024
"18","0610043K17Rik",2,1,2.000003,0,1,0,5,1,0,0,2,0,0
"19","0710001A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"20","1010001B22Rik",1,2.25677,2,0,0.90645,1,1,0.107664,1.87856,0,4.68257,1.12956,4.03113
"21","1100001I12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"22","1110002E22Rik",27.7133,40.3592,27.6932,22.2436,47.6778,39.7472,39.9909,31.643,15.2974,17,67.2186,51,57
"23","1110002J07Rik",4.0184,16.0276,5.11362,7.08677,14.0389,7.14095,5.04582,13.3774,15.028,9.03859,10.0154,9.03738,12.0172
"24","1110002L01Rik",41.81563,76.16675,41.11043,39.15289,45.61116,52.247839,27.76127,23.780139,38.750563,21.60675,42.00581,42.13772,62.7629
"25","1110002O04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"26","1110003F10Rik",9.8282,6.84071,6.25111,1,4,10.9387,7.05441,6.00037,3,5.81693,11.948,5.55461,6.56796
"27","1110004F10Rik",418.83868,392.999842809,425.9996,491.8902575935,507.913400018365,450.9997,414.0004,391.99967744,350.99972,388.00006,341.8294,490.00012,445.99982
"28","1110006O24Rik",11,12,13,18,19,16,7,6,10,11,7,10,13
"29","1110008E08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"30","1110013H19Rik",2,8,8,5,10,10,6,4,7,7,8,8,10
"31","1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"32","1110017D15Rik",1,3.000001,1,1,1,1,0,0,1,0,0,0,0
"33","1110018N20Rik",1,1,1,4.70005,13,6.0389,4.19231,0,2.03135,2,4,1,2
"34","1110019B22Rik",63.6059,24,35,19.2949,24,19,70.9783,36.3376,16,22,45.9308,20,66.9531
"35","1110019D14Rik",20.00002,31,46.05281,41.99999,47,45,26.99999,36.252487,38.99999,36.99996,40.55222,43,39
"36","1110020A21Rik",11,18,18,15.00002,30.00003,24.00005,13,15.00001,15,17.000050485241,26.00002,20,19
"37","1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"38","1110025M09Rik",18,9,9,9,24,21,7,8,15,11,10,26,15
"39","1110028F11Rik",5.000003,5.999999,4,7,10,8,15.00005,3.000001,6,9.000001,17,3.000005,7
"40","1110028F18Rik",9,1,0,0,1,1,1,0,1,0,3,3,1
"41","1110032F04Rik",7.6807,8.87731,4,6,5,6.64137,4.44099,4,7.68072,4,8,7.75776,2.6361
"42","1110035H17Rik",13.147,9.95109,24.738,21.245,25.6964,22.4538,9.24215,12.8022,10.3995,10.5358,23.0859,20.6636,27.3893
"43","1110038B12Rik",176.99994223664,165.00005488,172.999930854667,247.000030099,275.743708,262.000164,146.619705551414,141.749629,156.79563418623,168.00006,244.00040659858,145.7069729875,157.000020110934
"44","1110038F14Rik",116.9559,91.02379,136.46848,131.3937,237.77325,182.94652,101.94396,98.0001,112.0539,143.29872,91.19406,130.07816,135.5002
"45","1110046J04Rik",29.2529,18.50349,16.83786,15.69663,29.09192,15.63492,31.9027,18.34046,18.04584,12.43096,29.4239,27.6105,16.23613
"46","1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"47","1110059E24Rik",393.00033,220.9997,321.00036,428.99957,594.00009,456.00011,351.99973,325.00016,302.99963,351.99953,311.9997,362.99993,363.99988
"48","1110059G10Rik",252.3056,294.0009,265.0837,252.2525,328.889,381.3663,275.3071,239.0003,252,234.04111,281.5731,368.7043,243.9814
"49","1110060G06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"50","1110065P20Rik",69.9467,62.37882,79.27018,71.04569,78.44436,123.19953,87.864,58.15441,79.35785,49.11513,62.10819,102.85847,84.83954
"51","1190001M18Rik",0,2,1,9,1,5,1,1,3,1,0,2,4
"52","1190005I06Rik",0,0,2.000005,4,3,1.31141,0,0,1,2,2,0,1.9999988
"53","1190028D05Rik",0,0,0,0,0,0,0,0,0,0,0.00919128,0,0
"54","1200007C13Rik",0,0,1.83716,0,0,0,0,0,1.68088,0,0,0,0
"55","1300002E11Rik",312.3404,338.41904,413.95159,304.9581761,392.60114,393.33155,297.8937,302.78585,324.42924,317.29441,357.39508725608,356.95126,440.63571
"56","1300014J16Rik",29,38,33,23,23.016,13,25.0273,23,27,24.5858,26,27.0157,29
"57","1500002C15Rik",9.87149,14.4382,8.96119,9.25565,25.5525,22.9509,10.9895,3.28493,13.0726,11.9323,17.8677,21.6625,17.9887
"58","1500002F19Rik",1.06634,3.19807,1.08936,0,2.01569,2,1.04388,1,0,0,2.21382,3.08395,4.11002
"59","1500004A13Rik",50.36157,61.96873,56.08668,63.03476,71.68536723,84.20708,75.42087,63.629766,41.97773,47.71,111.13149,93.65132,94.06029
"60","1500005C15Rik",3,3,5,2,2,2,3,6,1,2,4,0,3
"61","1500009L16Rik",11,11,9.18371,7.06109,25.177016,27.96858,9.1363,13.557933,6.02163,5,22.00003,15.06981,10.19259
"62","1500011B03Rik",22.23499,29.195085,22.40966,25.94051,33.64962,27.50536,19.12789,12.525137,22.81471,19.41104,17.0881,25.275227117,29.19434
"63","1500012K07Rik",1,1,1,0,0,2.014,1,0,1,0,2,0,3
"64","1500015A07Rik",13,21,13.000019,21,36,30,15,11,23,12,19,30,30
"65","1500015L24Rik",2.40214,0,0,0,2.64364,1.14588,1.01326,0,2.01058,1.08559,1,2,1.02442
"66","1500026H17Rik",15,21.05441,33,17.00001,31.00005,27.08256,22.00002,17.99997,15.052253,14.99998,24.060673,29.16222,20.081
"67","1500032F14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"68","1500035N22Rik",25,10,23,50.999967,38.00003,27.99998,24.99999,12,17,18.9999549615,29.00004,29.00003,26.00002
"69","1600002D24Rik",0,1,1,0,0,1,1,0,0,0,0,0,2
"70","1600010M07Rik",4.49025,2.235595,5.21296,9.1906,9.23338,4.90142,3.60494,4.70217,3.40091,3.78851,7.35573,7.94055,5.58549
"71","1600012H06Rik",543.93248,508.73974,549.44775,585.50611,707.914,631.46411,457.44168,535.92795,516.47716,551.22981,546.53762559,697.64136,576.61971
"72","1600012P17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"73","1600014C10Rik",1327.0025,1377.00346,1709.99618,992.000172,1179.00068,1572.00059,1286.99697,903.0002,1017.99991,869.99963,1344.001,1535.98083,1209.99966
"74","1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"75","1600017P15Rik",1,0,2,1,0,3,2,0,3,2,1,0,1
"76","1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"77","1600020E01Rik",82.420599,82.9359153,77.0786,45.05839,85.0716433,90.214950463,59.094409,34.00003,62.00001,36.1176,62.421387,98.47076,68.11622
"78","1600022D10Rik",1,0,0,0,1,0,2,0,0,0,0,1,0
"79","1600023N17Rik",1,3,3,2,7,5,0,4,2,3,2,3,2
"80","1600025M17Rik",7.06856,3.71299,3.66441,1,1.89206,3.88035,4.70698,4.51975,5.8717,1.78049,4.136,5,5.00777
"81","1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"82","1600029O15Rik",1.00491,0,1.00125,0,1.00442,3.003593,0,0,0,0,1.00185,0,5.01639
"83","1700001C19Rik",15.70411,13.46115,10.3642000133262,10.334001,16.88726,7.26382,18.00787,9.188046,8.18896,11.06872,11.15899,6.188666,5.06021
"84","1700001D01Rik",0,0,0,0,0,0,0,0,1,0,0,0,0
"85","1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"86","1700001G01Rik",0,0,1,0,0,3.000005,3,0,0,1,2,0,0
"87","1700001G11Rik",1,1,0,0,0,1,0,0,0,0,0,0,0
"88","1700001G17Rik",0,0,2,1,1,2,0,1,0,0,0,0,0
"89","1700001J03Rik",4,5,2,3,4,8,3,3,2,2,2,2,6
"90","1700001J04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"91","1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"92","1700001K19Rik",1,1.999998,1,4,2.000002,1,3,4,1,1.999999,1.999998,2,7
"93","1700001K23Rik",1,1,3.0000000205924,5,3,1,3,4,4,0,3.0000000259847,2,4.999996
"94","1700001L05Rik",598.0001,770.99948,524.9997,303.9995,202.99977,386.99958,782.9995,515.99992,366.000153676,252.9998,516.00028,502.00009,409.00009
"95","1700001N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"96","1700001O22Rik",0,1,0,4,2.000003,1,0,0,5,1,0,0,2
"97","1700001P01Rik",0,0,0,2,1,0,1,0,0,0,4,0,1
"98","1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"99","1700003D09Rik",35,39.2555,40,22.1299,21.8354,34,36,22,41.0085,22,49,37.0186,60.0179
"100","1700003E16Rik",20,23,44.99998,60,30,40,13,24,37,37,15,52.00002,57
"101","1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"102","1700003F12Rik",1,2,2,2,0,3,2,1,1,1,2,1,0
"103","1700003G18Rik",0,1,0,0,0,0,0,0,0,0,0,0,0
"104","1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"105","1700003I16Rik",12.704,16.6339,10.7706,9.25785,7.90326,18.3424,11,10.372,9.73864,6.88596,25.1821,12,13.2582
"106","1700003I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"107","1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"108","1700003M07Rik",3.91466,1,0,0,2.11047,0,1,1,0,1.13122,2.00098,1.01929,2.11852
"109","1700003N22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"110","1700003O11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"111","1700003P14Rik",0,0,0,0,0,0,0,0,1,0,0,2,0
"112","1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"113","1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"114","1700006H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"115","1700006J14Rik",1,0,0,0,3,1,3,1,0,1,1.02538,0,0
"116","1700006P03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"117","1700007E05Rik",3,11,5,1,9,5,4,4,8,4,18,6,10
"118","1700007F19Rik",0,0,0,0,0,0,1,0,0,0,0,0,0
"119","1700007H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"120","1700007J10Rik",1,3.024366,2.03084,1.00358,0,2,0,2.02706,0,2.0152,0,0,2.01543
"121","1700007L15Rik",28.00118,19,25.9999900141498,25.25878,20.00987,14.02437,22.01066,22,21.48726,11.09028,12.46635,17.00066,31.04274389
"122","1700007M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"123","1700007P06Rik",0,0,0,0,1.26021,0,0,0,0,0,1,0.255991,0
"124","1700008A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"125","1700008B11Rik",1,0,7,2,2,1,4,1,1,1,8,4,5
"126","1700008C04Rik",0,0,0,0,1,0,0,0,0,0,0,1,0
"127","1700008H02Rik",11.8468,7.97821,6.73791,3.2026,2.06669,1.10902,10.9023,8.13485,2.32391,1.06741,3.23838,1.05736,13.3377
"128","1700008J07Rik",35.1177,45.4012,53.3719,35.5559,56.5405,46.6554,34.4079,52.4288,48.5982,36.6646,41.7383,54.4716,48.4976
"129","1700008K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"130","1700008N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"131","1700008O03Rik",1,2.02543,2.00213,5.02027,1.00938,1,2.17146,0,1.01234,0,3.97692,3.12563,1
"132","1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"133","1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"134","1700009J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"135","1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"136","1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"137","1700010B13Rik",2,0,0,1.54959,0,0,1.58023,1,0,0,1,2,0
"138","1700010D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"139","1700010G06Rik",1,0,0,0,1,1,0,2,1,0,0,0,0
"140","1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"141","1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,1.4227,0
"142","1700010I14Rik",3,2,1,6,4,10,5,2,3.00144,2,4.00157,1,4
"143","1700010J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"144","1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"145","1700010K24Rik",0,0,1,0,0,0,0,0,0,0,0,0,0
"146","1700010L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"147","1700010N08Rik",0,0,0,0,0,1,0,0,0,0,0,0,0
"148","1700011B04Rik",0,0,0,0,0,1,1,1,0,0,1,0,0
"149","1700011C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"150","1700011D18Rik",0,0,0,0,0,0,0,0,0,0,0,1,0
"151","1700011L03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"152","1700011L22Rik",1,2,1,0,2,3,0,2,3,1,0,3,5
"153","1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"154","1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"155","1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"156","1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,1
"157","1700012C08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"158","1700012C14Rik",0,0,0,0,0,1,0,0,0,0,0,0,0
"159","1700012D16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"160","1700012E03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"161","1700012I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"162","1700012J15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"163","1700012J22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"164","1700013A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"165","1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"166","1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"167","1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"168","1700013M08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"169","1700013N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"170","1700014B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"171","1700014D04Rik",0,1,2,1,2.000003,1,0,0,2,3,0,1,3
"172","1700014F14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"173","1700014L14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"174","1700015C15Rik",0,0,0,0,1,0,0,0,0,0,0,0,0
"175","1700015C17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"176","1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"177","1700015H07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"178","1700015I17Rik",0,1.00217,2.00793,1.01441,0,0,2.0073,1.05225,2.04467,0,0,1.15666,3.07519
"179","1700015O11Rik",4,10,8,4,6,7,5,7,2,4,4,6,5
"180","1700016A09Rik",0,1,1,1,1,1,1,0,2,1,1,0,1
"181","1700016B01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"182","1700016B15Rik",0,0,0,0,0,0,0,0,0,0,1,0,1
"183","1700016C15Rik",47,16,38,17,33,38,43,11,33,9,36,43,28
"184","1700016D08Rik",0,0,0,1,0,0,0,1,0,0,0,0,0
"185","1700016F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"186","1700016G22Rik",0,0,1,1,1,0,0,0,0,0,0,0,0
"187","1700016H03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"188","1700016H13Rik",0,0,3,1,0,1,0,0,0,0,0,0,0
"189","1700016J18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"190","1700016K05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"191","1700016K19Rik",3,3,3,12,8,3,2,3,6,3,1,2,2
"192","1700016L21Rik",1,0,1.076867,0,0,1,0,0,1,1,1.874601,0,0
"193","1700016P03Rik",0,0,0,2.64873,0,0,2.31201,0,0,0,0,1.40087,0
"194","1700016P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"195","1700017B05Rik",154.99956,188.00027,181.00044,347.999732,265.99996,118,113.99966,113.00008,141.00014,220,168.00028,94,111.00015
"196","1700017G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"197","1700017I07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"198","1700017J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"199","1700017L05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"200","1700017M07Rik",0,0,0,0,0,0,1,0,0,1.00919,0,0,1
"201","1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"202","1700018A04Rik",1,1,0,0,0,1,1,1,0,1,0,1,0
"203","1700018A14Rik",2,2,1,1,2,1,1,3,1,3,1,3,2
"204","1700018A23Rik",2,0,2,3,1,1,0,0,2,1.00261,2,0,4
"205","1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"206","1700018B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"207","1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"208","1700018G05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"209","1700018L02Rik",19.433,25.5728,29.7473,17.4757,23.3059,22.347,18.3382,22.5615,16.3306,12.3847,20.4893,27.423,19.5656
"210","1700018M17Rik",0,0,0,0,1.03367,4.16127,0,0,1.01108,1.00454,1.01212,0,1.04796
"211","1700018P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"212","1700018P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"213","1700019A02Rik",0,0,0,0,0,0,1,0,0,0,0,0,1
"214","1700019A23Rik",0,0,0,0,0,0,0,3,0,1,0,2,0
"215","1700019C18Rik",1.82841,1,1,1.836256781,0,0,1.83133,1.82863,2,1.83342,3,1.82609,0
"216","1700019D03Rik",19.000031,21,37.86678,90.553501975583,77.7622,56.6484,18.999954222128,10.000002,30,25,32.8466417624,23,46
"217","1700019E08Rik",0,1,0,0,1,0,0,0,0,0,0,0,0
"218","1700019F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"219","1700019G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"220","1700019J19Rik",3,3,2.00001,1.00001,0,0,1,1,2,1.00001,2,1.00001,6
"221","1700019L13Rik",1,2.28109,3.00372,1,2.0178,0,1.55012,3.75884,1.35971,3.57448,4.43656,4.50754,0
"222","1700019M22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"223","1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,1
"224","1700019P21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"225","1700020A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"226","1700020D12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"227","1700020D14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"228","1700020G03Rik",0,0,0,0,3,0,0,0,0,0,0,1,0
"229","1700020G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,1
"230","1700020L13Rik",3,4.16532,1.01291,0,3.02958,4.03815,2.11318,4,2,3,4.0992,8,3.02141
"231","1700020L24Rik",21.30333,11.32621,13.44439,53.1102,64.1636,31.4826,15.95755,13.49241,22.13079,38.6022,20.09041,17.35699,16.8083
"232","1700020M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"233","1700020N01Rik",0,6.000004,5,2.000001,3,4,6,2,11,0,6,16,3
"234","1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"235","1700020N18Rik",0,0,0,0,0,0,0,0,0,0,0,1,0
"236","1700021A07Rik",2.52892,0,0,0,1.44808,0,0,1.40319,0,1.68156,0,1.207397,0
"237","1700021F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"238","1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"239","1700021F13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"240","1700021G15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"241","1700021J08Rik",19.8231,22.8519,13.5887,6.72026,19.5918,37.6466,20.4479,12.41,18.8447,19.0066,23.9132,25.8243,42.046
"242","1700021L23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"243","1700021N21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"244","1700021P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"245","1700022A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"246","1700022A22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"247","1700022E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"248","1700022H01Rik",3,1,5,2,2,3,2,2,2,0,1,3,4
"249","1700022H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"250","1700022I11Rik",2.23424,0,3.37888,3.39,0,0,2.25471,1.17215,0,0,1.10499,0,4.46235
"251","1700022N22Rik",13.44814,19.58437,31.83589,7,25.8506,25.2426,17.39234,19.72628,17.12549,15.0935,28.39288,25.85213,32.9503
"252","1700023C21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"253","1700023F02Rik",0,0,0,0,0,1,2,0,0,0,0,0,0
"254","1700023G09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"255","1700023H06Rik",1,0,0,0,0,1,0,1,0,0,0,0,0
"256","1700024B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"257","1700024B18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"258","1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"259","1700024I08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"260","1700024J04Rik",3,0,2.00002,4.00005,6,1,2,2,0,1.00007,1.43755,4.00005,2.6759
"261","1700024P12Rik",34,31,34,30,24,37,33,21,32,16,28,50,62
"262","1700025A08Rik",3,4,1,0,1,1,0,0,0,1,1,0,0
"263","1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"264","1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,1,1
"265","1700025D23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"266","1700025F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"267","1700025G04Rik",71.92835,46.39185,121.903754,134.16919,184.79694,148.02499,73.92676,44.947291,105.397,111.79886,144.56443,115.90062,163.03171
"268","1700025H01Rik",0,0,0,0,0,0,0,0,0,0,0,0,1
"269","1700025J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"270","1700025K04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"271","1700025K24Rik",0,0,1,0,0,0,0,0,0,0,0,0,0
"272","1700025L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"273","1700025M24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"274","1700025N21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"275","1700025N23Rik",9.15239,7.01475,2.24706,3.20167,12.221,9.74635,13.0193,9.66087,4.42483,3.07667,13.5616,6.1563,12.4406
"276","1700025O08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"277","1700026D11Rik",1,1,1,0,0,0,1,0,0,1,0,0,0
"278","1700026F02Rik",0.552332,0,0,0.228951,0,0,2.31269,0,2.21201,0.561586,0.972061,1.46403,1.07753
"279","1700026J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"280","1700026J14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"281","1700026N04Rik",0,1,0,1,0,0,0,0,0,0,0,0,0
"282","1700027A07Rik",0,0,0,1,0,0,0,0,0,0,0,0,0
"283","1700027A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
