,logFC,AveExpr,t,P.Value,adj.P.Val,B
Neil1,-0.025223646,2.490373631,-0.209208581,0.83775566,0.918525017,-6.729332463
Svip,-0.030725437,5.352721475,-0.209147518,0.837802275,0.918525017,-6.729346054
Alpk1,-0.079975,3.060346481,-0.20880192,0.838066108,0.918744127,-6.729422901
Sema4c,0.047396709,0.762696802,0.208568708,0.838244157,0.918775562,-6.729474686
H2bc4,-0.051825709,5.018736934,-0.208384575,0.838384742,0.918775562,-6.729515533
Gpatch2l,-0.017287482,3.787637367,-0.208362209,0.838401818,0.918775562,-6.729520492
Ell3,-0.031736689,1.835571226,-0.208335889,0.838421914,0.918775562,-6.729526327
Spred1,-0.026308411,4.333175658,-0.208298717,0.838450296,0.918775562,-6.729534566
Lrrc51,-0.037249477,0.556356509,-0.208261552,0.838478673,0.918775562,-6.729542803
Bloc1s4,-0.026149493,2.640864031,-0.207976254,0.838696515,0.918898832,-6.729605984
Frs3,-0.038289307,1.344079672,-0.207946611,0.83871915,0.918898832,-6.729612543
Coq8b,-0.025350711,3.862022355,-0.206911753,0.839509446,0.919541523,-6.729840963
Tmem276,-0.027238948,3.318798521,-0.206846437,0.839559333,0.919541523,-6.729855342
A730063M14Rik,0.056545956,0.026931622,0.206821836,0.839578123,0.919541523,-6.729860756
Gm14117,0.036347316,1.910748898,0.206751765,0.839631642,0.919541523,-6.729876175
Car4,-0.057068503,4.794704433,-0.206715773,0.839659133,0.919541523,-6.729884093
Gata5,-0.032967405,5.977415266,-0.206675397,0.839689972,0.919541523,-6.729892974
Gm1976,0.041543287,1.822617302,0.2065703,0.839770246,0.919559306,-6.729916082
Trim63,0.079847103,-0.720337928,0.206354993,0.839934707,0.919650196,-6.729963386
Kcns3,0.068737743,3.630796072,0.206293951,0.839981335,0.919650196,-6.729976788
Eif4ebp1,-0.038409597,4.626145094,-0.206015497,0.840194044,0.919812951,-6.730037875
Bptf,0.030518507,6.114589609,0.205698268,0.840436389,0.919979133,-6.730107369
Med1,-0.027943552,6.05642642,-0.205594303,0.840515817,0.919979133,-6.730130121
Zfp385b,-0.080970783,0.824068315,-0.205480277,0.840602932,0.919979133,-6.730155061
Snx12,-0.021407501,4.357176957,-0.205417558,0.84065085,0.919979133,-6.730168774
Tnfrsf14,-0.036140847,3.41923465,-0.205397508,0.840666169,0.919979133,-6.730173156
4921524J17Rik,-0.026167452,3.32142199,-0.204505576,0.841347692,0.920654793,-6.730367694
Sbno1,0.021101446,6.766153368,0.204121464,0.841641232,0.920905829,-6.730451212
Fbxl6,0.02303953,4.503897151,0.203754405,0.841921764,0.921076748,-6.730530878
Sp110,0.040396582,1.160546075,0.203721893,0.841946613,0.921076748,-6.730537927
Ascc3,0.027702574,5.268338813,0.203665302,0.841989866,0.921076748,-6.730550195
Gsdma,-0.076193392,-0.882010028,-0.203572389,0.842060882,0.921084267,-6.730570329
Tha1,-0.043574794,4.061438429,-0.203276533,0.842287021,0.921124519,-6.73063438
Vps35l,-0.015533754,5.301172947,-0.20327296,0.842289751,0.921124519,-6.730635153
Pdcd10,-0.021001189,5.692936895,-0.203272484,0.842290116,0.921124519,-6.730635256
Mtx2,0.020472675,5.543884603,0.203177179,0.842362965,0.921134038,-6.730655869
Anapc2,0.015115585,5.781037502,0.202678457,0.842744207,0.92148076,-6.730763577
Cbl,-0.025540068,5.821939871,-0.202034245,0.843236729,0.921879031,-6.730902318
Stox2,-0.063074252,-0.293876417,-0.202034096,0.843236843,0.921879031,-6.73090235
Gphn,0.01705414,5.310881251,0.201918856,0.843324955,0.92189147,-6.730927122
Prkag2,-0.013673521,6.678513029,-0.201768935,0.843439587,0.92189147,-6.730959329
Gm826,0.085007209,0.703638182,0.201678155,0.843509002,0.92189147,-6.730978819
Akirin1,0.023148094,5.64672213,0.201640158,0.843538056,0.92189147,-6.730986974
Tab1,-0.015774953,4.486422108,-0.20159941,0.843569214,0.92189147,-6.730995718
Socs5,0.029248462,1.793073944,0.201437574,0.843692966,0.921956547,-6.731030429
Gm10138,0.02381711,1.760001087,0.201082625,0.8439644,0.922182985,-6.731106461
Gm10399,-0.034592799,0.249213233,-0.200790747,0.84418762,0.922356709,-6.731168883
Kdelr1,0.02067797,7.887567835,0.200547003,0.844374039,0.922466179,-6.731220942
Fam219b,0.013432152,3.311716114,0.2004875,0.844419549,0.922466179,-6.731233641
Gm48415,-0.084492577,1.517021825,-0.200407772,0.844480529,0.922466179,-6.731250651
Cux1,0.013671364,6.125646066,0.199731886,0.844997523,0.922780914,-6.731394579
Prkag2os1,-0.062204401,0.693803824,-0.199668849,0.845045745,0.922780914,-6.731407978
Mief2,0.028646891,2.737817862,0.199644126,0.845064658,0.922780914,-6.731413232
Map2k3,-0.025754656,6.184064012,-0.19960243,0.845096554,0.922780914,-6.731422092
Slc25a35,0.022137879,3.183060714,0.199566128,0.845124325,0.922780914,-6.731429803
Gm10163,0.23265786,4.37602332,0.199527051,0.845154219,0.922780914,-6.731438103
Brk1,-0.019806978,5.832926877,-0.199386528,0.845261721,0.922828124,-6.731467936
Acot5,0.206747096,-1.222397782,0.199298598,0.845328991,0.922831405,-6.731486593
Stmp1,-0.025506767,4.813774215,-0.199195611,0.84540778,0.922847261,-6.731508434
Gm28529,0.040880151,-0.195635801,0.198849765,0.845672382,0.923065933,-6.731581698
Fundc2,-0.020075091,4.053767928,-0.198364838,0.846043426,0.923400744,-6.731684213
Arf1,0.020178016,8.793859149,0.198142754,0.846213367,0.923492439,-6.731731078
Sgf29,-0.02946844,3.795671464,-0.198040365,0.846291719,0.923492439,-6.731752668
1700058P15Rik,-0.052911376,0.300547502,-0.198002927,0.846320369,0.923492439,-6.731760559
Zfp526,0.034876651,2.733168833,0.197465698,0.846731508,0.923870865,-6.731873634
Rbbp6,0.030351112,6.33925896,0.197357105,0.846814619,0.923891349,-6.731896453
Zfp148,0.021735989,5.848112073,0.197123838,0.846993156,0.924015933,-6.731945429
AW112010,0.039677003,3.446181971,0.196960888,0.84711788,0.924081796,-6.731979607
Armc1,0.015761767,5.112995202,0.196608589,0.847387548,0.924273723,-6.732053405
Ranbp9,0.011109987,5.267583165,0.196511159,0.847462129,0.924273723,-6.732073791
Nprl2,0.018447059,3.512266217,0.196478779,0.847486916,0.924273723,-6.732080563
Chrac1,-0.016929321,3.957342396,-0.196271726,0.847645418,0.924352073,-6.732123846
Mrps21,0.018030367,5.2664737,0.196216761,0.847687496,0.924352073,-6.732135328
Rbm45,0.022578134,4.425597421,0.195832669,0.847981547,0.924602507,-6.732215477
Mir670hg,-0.051935681,-0.280491033,-0.195613923,0.848149024,0.924651825,-6.732261053
Ada,-0.091241217,7.436341846,-0.195605387,0.84815556,0.924651825,-6.73226283
Traf6,-0.020702991,4.995042684,-0.195423213,0.848295043,0.924733684,-6.732300746
Vmn1r58,-0.045505484,-0.51218002,-0.195237585,0.848437176,0.924771794,-6.732339345
Trim33,-0.025983288,5.288696094,-0.195209342,0.848458801,0.924771794,-6.732345214
Fbxl15,-0.034051907,2.666665485,-0.194922711,0.848678283,0.92493256,-6.732404735
2200002D01Rik,0.042128765,6.755514872,0.194848487,0.848735121,0.92493256,-6.732420134
Shkbp1,0.029497981,4.467904457,0.194665596,0.848875175,0.925014988,-6.732458052
Atxn3,-0.030320353,4.634447876,-0.194553078,0.848961342,0.925038688,-6.732481363
Phf14,0.013819048,4.83515321,0.194412029,0.84906936,0.925063606,-6.732510566
Ces2h,-0.073212578,0.042952349,-0.194354982,0.849113049,0.925063606,-6.732522371
H2-T-ps,-0.08379449,0.56249742,-0.193861416,0.849491063,0.925405224,-6.732624362
A230072E10Rik,0.043640199,0.331030374,0.19361453,0.849680163,0.925485706,-6.732675283
Gm19680,0.050480585,2.774014415,0.193596675,0.84969384,0.925485706,-6.732678963
Ocel1,-0.022771795,4.797434239,-0.193441956,0.849812351,0.925544585,-6.732710838
Lbh,-0.04240953,4.92341382,-0.193036028,0.850123301,0.92572309,-6.732794347
Fhod1,0.019730525,4.722952116,0.19300682,0.850145676,0.92572309,-6.732800349
Serpini1,-0.035714476,-0.012399145,-0.192975531,0.850169646,0.92572309,-6.732806778
Kif2a,-0.013618777,5.657094488,-0.192774956,0.850323302,0.925764688,-6.732847963
F420014N23Rik,-0.061500484,-0.594387339,-0.192757356,0.850336785,0.925764688,-6.732851575
Gm36738,-0.032082517,0.531533518,-0.192627864,0.85043599,0.925802503,-6.73287814
Gm12264,0.036292591,0.09868695,0.192511893,0.850524839,0.925819746,-6.732901916
Dtnbp1,-0.017284726,4.208026999,-0.192438885,0.850580774,0.925819746,-6.732916876
Mprip,-0.015428719,6.666889396,-0.192280463,0.85070215,0.92588168,-6.73294932
Prox1,-0.03223849,1.01604325,-0.191942327,0.850961231,0.926093466,-6.733018479
Ndufb1,-0.035431568,4.659203094,-0.191674274,0.851166627,0.926218162,-6.733073218
Ptger1,-0.04574912,0.927010071,-0.191624444,0.851204811,0.926218162,-6.733083385
Deaf1,0.019675849,4.718180605,0.191320743,0.851437537,0.9264012,-6.733145296
Ldlrad3,0.030442461,0.057588158,0.190975252,0.851702306,0.926619071,-6.733215607
Klc1,-0.014112691,4.739685384,-0.190815459,0.851824771,0.926633691,-6.733248084
Tmem63b,-0.012542309,6.12888239,-0.190716439,0.851900661,0.926633691,-6.733268196
